desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108677_s.jpg,2022-08-22,괴산군 괴산읍 읍내로2길 79,[개] 믹스견,"흰색, 갈색",2021(년생),7(Kg),충북-괴산-2022-00231,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108677.jpg,종료(자연사),M,N,교통사고로인하여 보호소 이동중 폐사함,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108499_s.jpg,2022-08-22,괴산군 청안면 질마로 333-58,[개] 믹스견,갈색,2021(년생),5(Kg),충북-괴산-2022-00230,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108499.jpg,보호중,F,N,건강하며 온순하다(다소 피부질환 증상 있음),괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108714_s.jpg,2022-08-22,괴산군 청천면 금평리 5-5,[고양이] 한국 고양이,"검정, 갈색, 흰색",2022(년생),3(Kg),충북-괴산-2022-00229,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108714.jpg,보호중,F,N,사나우나 건강하다,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108461_s.jpg,2022-08-22,괴산군 청용1길 92-48,[개] 진도견,흰색,2022(년생),8(Kg),충북-괴산-2022-00228,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108461.jpg,보호중,M,N,온순하며 건강하다.,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108236_s.jpg,2022-08-22,괴산군 청천면 금평리 5-5,[고양이] 한국 고양이,"검정, 갈색",2020(년생),3(Kg),충북-괴산-2022-00227,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108236.jpg,보호중,F,N,건강하며 온순하다,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208222108948_s.jpg,2022-08-22,괴산군 청천면 금평로 252,[개] 저먼 포인터,"갈색, 흰색",2022(년생),4(Kg),충북-괴산-2022-00226,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208222108948.jpg,보호중,M,N,온순하며 건강하다,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908123_s.jpg,2022-08-22,괴산읍 정용리 223-3,[개] 셰퍼드,"검정, 갈색",2019(년생),30(Kg),충북-괴산-2022-00225,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908123.jpg,종료(반환),F,N,온순하며 건강하다.,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908186_s.jpg,2022-08-22,괴산군 사리면 모래재로(조천마을),[개] 믹스견,"검정, 갈색",2021(년생),4(Kg),충북-괴산-2022-00224,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908186.jpg,보호중,M,N,전염성 질환 감영상태로 건강하지 못함,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908743_s.jpg,2022-08-22,괴산군 괴산읍 대덕리 555,[개] 믹스견,연갈색,2021(년생),15(Kg),충북-괴산-2022-00223,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908743.jpg,보호중,F,N,온순하며 건강하다,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908653_s.jpg,2022-08-22,괴산군 괴산읍 대덕리 555,[개] 믹스견,흰색,2012(년생),7(Kg),충북-괴산-2022-00222,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908653.jpg,보호중,M,N,온순하나 심장사상충 감염상태,괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908729_s.jpg,2022-08-22,괴산군 사리면 사리로 510,[고양이] 한국 고양이,"검정, 갈색",2022(년생),0.5(Kg),충북-괴산-2022-00221,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908729.jpg,보호중,M,N,너무어리고 어미의 보호 및 수유필요(예후가 좋지않음),괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908304_s.jpg,2022-08-22,괴산군 사리면 사리로 510,[고양이] 한국 고양이,"검정, 갈색",2022(년생),0.5(Kg),충북-괴산-2022-00220,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908304.jpg,보호중,M,N,너무 어리고 어미의 보호와 수유가 필요함 (예후가 좋지않음),괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908365_s.jpg,2022-08-22,괴산군 사리면 사리로 510,[고양이] 한국 고양이,"검정, 갈색",2022(년생),0.5(Kg),충북-괴산-2022-00219,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908365.jpg,보호중,M,N,"너무 어려 어미의 보호관리, 수유가 필요함(예후가 좋지않음)",괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908359_s.jpg,2022-08-22,괴산군 사리면 사리로 510,[고양이] 한국 고양이,"검정, 갈색",2022(년생),0.5(Kg),충북-괴산-2022-00218,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908359.jpg,보호중,M,N,너무어리고 어미의 보호와 수유필요(예후가 좋지않음),괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
443446000000000,http://www.animal.go.kr/files/shelter/2022/08/202208220908925_s.jpg,2022-08-22,청안면 금신로2길 30-2,[고양이] 한국 고양이,"검정, 흰색",2018(년생),3(Kg),충북-괴산-2022-00217,2022-08-23,2022-09-02,http://www.animal.go.kr/files/shelter/2022/08/202208220908925.jpg,종료(자연사),M,N,"사고에 의한 외상으로 우측전지피부 탈락(심하게 마른상태, 균형감각 상실 등)",괴산증평동물보호센터,010-3169-1151,충청북도 증평군 도안면 입장길 239 (도안면),충청북도 괴산군,윤영서,043-830-3233
448548000000000,http://www.animal.go.kr/files/shelter/2022/08/202208221308234_s.jpg,2022-08-22,묘산면,[개] 믹스견,흰색,2022(년생),12(Kg),경남-합천-2022-00350,2022-08-22,2022-09-01,http://www.animal.go.kr/files/shelter/2022/08/202208221308234.jpg,보호중,F,N,피부병 눈병,태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565
