desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment,,,,
448539000000000,http://www.animal.go.kr/files/shelter/2022/08/202208161608580_s.jpg,2022-08-16,지정면 양동마을,[개] 믹스견,갈색,2022(년생),9(Kg),경남-의령-2022-00138,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208161608580.jpeg,보호중,M,U,"사람 경계함, 순함",만하농장,055-570-4202,경상남도 의령군 의령읍 남강로 485-75,경상남도 의령군,의령군,055-570-4202,,,,,
448537000000000,http://www.animal.go.kr/files/shelter/2022/08/202208160908634_s.jpg,2022-08-16,보호소사무실 앞,[개] 믹스견,흰색,2022(년생),4(Kg),경남-거제-2022-00828,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208160908634.jpg,보호중,F,N,경계가 아주 심함.박스채 유기,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,,,,,
448537000000000,http://www.animal.go.kr/files/shelter/2022/08/202208160908573_s.jpg,2022-08-16,연초면 덕치마을 회관근처,[개] 믹스견,흰색,2019(년생),17(Kg),경남-거제-2022-00822,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208160908573.jpg,보호중,M,N,미용흔적있으나 피부 안좋음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208257[1]_s.jpg,2022-08-16,가곡동,[개] 푸들,화이트,2021(년생),4(Kg),경남-밀양-2022-01277,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208257[1].jpg,보호중,M,N,눈물자국이 많은 아이/ 순하고 예쁨,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208744_s.jpg,2022-08-16,삼랑진,[개] 믹스견,파티,2022(년생),2(Kg),경남-밀양-2022-01276,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208744.jpg,보호중,M,N,"눈,코가 크고 귀여운 아이",밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208816_s.jpg,2022-08-16,부북,[고양이] 한국 고양이,삼색,2022(년생),1(Kg),경남-밀양-2022-01275,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208816.jpg,보호중,F,N,사고후 구조.. 예쁜냥이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208234_s.jpg,2022-08-16,무안,[개] 믹스견,진회색,2019(년생),15(Kg),경남-밀양-2022-01274,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208234.jpg,보호중,M,N,갈색 목줄 착용/ 영리하게 생긴아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208783_s.jpg,2022-08-16,단장,[개] 포인터,초코&화이트,2020(년생),10(Kg),경남-밀양-2022-01273,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208783.jpg,보호중,M,N,호피/ 잘생긴아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208911_s.jpg,2022-08-16,산내,[개] 믹스견,진갈색,2022(년생),3(Kg),경남-밀양-2022-01272,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208911.jpg,보호중,M,N,조금 소심한 성격의 아이 순하고 귀여움,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208162208257_s.jpg,2022-08-16,내이동,[개] 믹스견,갈색,2022(년생),2(Kg),경남-밀양-2022-01271,2022-08-16,2022-08-26,http://www.animal.go.kr/files/shelter/2022/08/202208162208257.jpg,보호중,M,N,까만코가 반질반질 예쁜 아이/온순,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
